长沙,天心区,亦晚老长沙烧烤(砂子塘店),star_30,3.36,2,,3.63,3.64,3.63,http://www.dianping.com/shop/H3SM5AlKD919SkOY,烧烤烤串,浦沅,芙蓉中路三段569号陆都小区7栋C110号
长沙,天心区,长沙君悦酒店·燚园亚洲烧烤餐厅,star_45,4.52,726,￥182,4.43,4.86,4.78,http://www.dianping.com/shop/l6ZW86Sha9txiH4f,烧烤烤串,坡子街,湘江中路36号君悦酒店七层
长沙,天心区,大树下烤肉·特色雪花牛肉(独立小院子店),star_40,4.38,285,￥84,4.52,4.12,4.22,http://www.dianping.com/shop/Ha6GIklRl0CKafB2,融合烤肉,新开铺,新开铺路与友谊路交叉路口
长沙,天心区,韩大地海鲜自助烧烤城(五一广场店),star_40,4.06,2439,￥63,4.11,4.3,4.23,http://www.dianping.com/shop/G3wD8xWVbFZC8qnz,烧烤烤串,五一广场,五一大道五一广场嘉顿新天地2楼
长沙,天心区,马良的小串·烧烤小酒馆(蔡锷南路店),star_45,4.62,159,￥63,4.58,4.77,4.7,http://www.dianping.com/shop/k8cIQa57oRslsMb8,烤串,黄兴路步行街,天心区高正街蔡锷南路28号
长沙,天心区,小明海鲜烧烤(人民路店),star_45,4.6,2420,￥107,4.64,4.81,4.73,http://www.dianping.com/shop/H30VP5Z8q0ryNTZB,海鲜,黄兴路步行街,人民西路蔡锷南路48号
长沙,天心区,铁竹堂·炸货(都正街店),star_40,4.07,129,￥48,4.05,4.21,4.29,http://www.dianping.com/shop/kaI7mKenYZrwEtoL,炸鸡炸串,天心阁/白沙井,县正街9号
长沙,天心区,鲁班烤肉,star_45,4.67,701,￥68,4.72,4.47,4.58,http://www.dianping.com/shop/lamzEtePOOuxYNcx,融合烤肉,黄土岭,天心区南湖路103号
长沙,天心区,湘西特色烧烤,star_30,3.4,3,,3.57,3.4,3.54,http://www.dianping.com/shop/H2VRaaeKXmn4Z7Cc,烤串,浦沅,芙蓉中路三段569号陆都小区7A栋118号
长沙,天心区,文哥牛肉串(冬瓜山店),star_40,4.17,339,￥60,4.27,3.81,4.03,http://www.dianping.com/shop/H4DEoETGyQLQQsHi,烤串,劳动广场/书院路,冬瓜山裕南街197号
长沙,天心区,三毛烧烤,star_35,3.65,6,￥83,3.65,3.65,3.65,http://www.dianping.com/shop/k2CBE721jCgmrs5Q,融合烤肉,黄土岭,雨花路142号
长沙,天心区,光脑壳烧烤,star_35,3.72,24,￥38,3.83,3.49,3.7,http://www.dianping.com/shop/H4M5EznuVwBL7W2J,融合烤肉,河西大学城,黄兴南路109号
长沙,天心区,盟重烧烤烈火牛肉(太平街店),star_40,4.2,82,￥26,4.31,3.98,4.12,http://www.dianping.com/shop/k3Ttu1KEm4cKeGcK,烤串,解放西路,太平老街马家巷73号
长沙,天心区,烤点烤肉(解放西店),star_40,4.18,61,￥52,4.47,4.3,4.04,http://www.dianping.com/shop/G3aNv3egfI1tVARK,烧烤烤串,五一广场,太平老街(解放西路)374号虾小龙楼上
长沙,天心区,状元荟烤(冬瓜山店),star_40,4.36,608,￥69,4.38,4.15,4.19,http://www.dianping.com/shop/ju2t6hoqSwvnJKYN,烧烤烤串,劳动广场/书院路,裕南街入口200米
长沙,天心区,三毛烧烤粥吧(豹塘店),star_35,3.97,83,￥70,4.07,3.93,3.85,http://www.dianping.com/shop/kaoenYg3dNn139pN,烤串,芙蓉南路沿线,豹塘路79号一楼圣菲丽格酒店西面隔壁
长沙,天心区,钻山豹湘西烧烤寨(冬瓜山店),star_40,4.11,171,￥59,4.22,4.05,4.39,http://www.dianping.com/shop/G3sd1vfA6ogwcClU,烤串,劳动广场/书院路,裕南街50号
长沙,天心区,岳阳王记烧烤,star_35,3.84,54,￥68,3.91,3.71,3.84,http://www.dianping.com/shop/G7e4qSvRXAQYM1RW,烤串,劳动广场/书院路,裕南街街道白沙路325号白沙晶城A栋209号
长沙,天心区,3毛烧烤美食城(莲湖形象店),star_40,4.16,57,￥67,4.14,4.04,4.07,http://www.dianping.com/shop/H2WHAiUfOK2qG5US,烤串,芙蓉南路沿线,井莲路539号红星建材大市场20栋（莲湖一路与井莲路交汇处）
长沙,天心区,苗小串烧烤店(东瓜山店),star_35,3.98,192,￥59,3.96,4.06,4.08,http://www.dianping.com/shop/k3ml4i3KUx7Vare4,烤串,劳动广场/书院路,裕南街201号1楼
长沙,天心区,神仙烧烤虾蟹城,star_40,4.09,147,￥79,4.31,3.93,3.96,http://www.dianping.com/shop/l81xsmXTVT8yS5zA,烤串,劳动广场/书院路,赤岭路348号金碧文华商铺132号
长沙,天心区,陈记烧烤(钱隆樽品总店),star_35,3.82,15,￥57,3.75,3.69,3.77,http://www.dianping.com/shop/l7UzqQrUg5aO0Jyk,烧烤烤串,浦沅,芙蓉中路三段600号
长沙,天心区,汤记烤匠(金桂店),star_35,3.74,15,,3.87,3.86,3.87,http://www.dianping.com/shop/H6gHqslSoV9kSK4H,烤串,芙蓉南路沿线,湖南省长沙市天心区桂花坪街道豹塘路金桂小区保险学院后门
长沙,天心区,强哥常德烧烤城,star_35,3.78,13,￥54,3.72,3.73,3.77,http://www.dianping.com/shop/H7NxdCgk3zxu2Ad9,烤串,芙蓉南路沿线,青园路附12号南苑花园12栋112号
